Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
xinzuo,1,1,140,30,0.63,https://xinzuocutlery.com/,112,47.86,70.00,0.47,0,"[28,34,34,34,28,28,43,43,53,43,81,100]",2026-03-17,"Sitelinks, Video, Video Carousel, Popular products, Related searches","commercial, navigational",Organic
xin zuo,1,1,50,32,0.57,https://xinzuocutlery.com/,9,3.84,5.00,0.55,8480000,"[66,23,33,33,9,9,9,9,9,9,9,100]",2026-02-25,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","informational, navigational",AI overview
xin zuo,1,1,50,32,0.57,https://xinzuocutlery.com/,0,0,0.00,0.55,8480000,"[66,23,33,33,9,9,9,9,9,9,9,100]",2026-02-25,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","informational, navigational",AI overview
xin zuo,1,1,50,32,0.57,https://xinzuocutlery.com/,1,0.42,0.00,0.55,8480000,"[66,23,33,33,9,9,9,9,9,9,9,100]",2026-02-25,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","informational, navigational",Organic
xinzuo knives,1,1,110,0,0.64,https://xinzuocutlery.com/,27,11.53,17.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knife 2pcs,1,1,70,0,0.00,https://xinzuocutlery.com/collections/knife-set,9,3.84,0.00,0.33,0,"[0,0,0,52,100,52,33,52,66,19,9,9]",2026-03-08,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
damascus steel knives xinzuo,1,1,40,11,0.00,https://xinzuocutlery.com/collections/damascus-knives,32,13.67,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
knife xinzuo 3 pcs,1,1,50,0,0.00,https://xinzuocutlery.com/collections/knife-set,12,5.12,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo knife,2,2,140,22,0.64,https://xinzuocutlery.com/,18,7.69,11.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knife 2pcs,3,3,70,0,0.00,https://xinzuocutlery.com/products/xinzuo-lan-series-2pcs-damascus-kitchen-knife-set,4,1.7,0.00,0.33,0,"[0,0,0,52,100,52,33,52,66,19,9,9]",2026-03-08,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
damascus steel knives xinzuo,3,3,40,11,0.00,https://xinzuocutlery.com/,0,0,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
knife xinzuo 3 pcs,3,3,50,0,0.00,https://xinzuocutlery.com/collections/knife-set/set,2,0.85,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo knives,4,4,110,0,0.64,https://xinzuocutlery.com/collections/knife-set,2,0.85,1.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
knife xinzuo 3 pcs,4,4,50,0,0.00,https://xinzuocutlery.com/products/xinzuo-3-piece-67-layers-damascus-steel-kitchen-knife-set-ya-series,1,0.42,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo knife,5,5,140,22,0.64,https://xinzuocutlery.com/collections/knife-set,2,0.85,1.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo 440c gyuto,6,6,40,,0.00,https://xinzuocutlery.com/collections/chef-knives-gyuto,0,0,0.00,0.03,188,"[9,45,27,81,9,9,9,100,100,18,18,18]",2026-03-25,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
xinzuo knife 2pcs,6,6,70,0,0.00,https://xinzuocutlery.com/collections/knife-set-2,1,0.42,0.00,0.33,0,"[0,0,0,52,100,52,33,52,66,19,9,9]",2026-03-08,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
damascus steel knives xinzuo,6,6,40,11,0.00,https://xinzuocutlery.com/collections/knife-set,0,0,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
xinzuo knife,6,6,140,22,0.64,https://xinzuocutlery.com/collections/chef-knife,1,0.42,0.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
zhen knives,6,6,30,22,0.60,https://xinzuocutlery.com/collections/all/zhen-series,0,0,0.00,1,893000,"[19,23,4,9,23,9,0,0,14,19,9,19]",2026-02-04,"Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, navigational",Organic
xinzuo knives,7,7,110,0,0.64,https://xinzuocutlery.com/collections/chef-knife,0,0,0.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knives,8,8,110,0,0.64,https://xinzuocutlery.com/collections/mo-series,0,0,0.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knives,8,8,110,0,0.64,https://xinzuocutlery.com/products/xinzuo-8-inches-110-layers-damascus-steel-chef-knife-jiang-series,0,0,0.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Image pack
knife xinzuo 3 pcs,8,8,50,0,0.00,https://xinzuocutlery.com/products/xinzuo-3pcs-kitchen-knife-set-triple-layer-composited-steel-with-olive-wood-handle-razor-sharp-ergonomic-design-pin-series,0,0,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo knives,9,9,110,0,0.64,https://xinzuocutlery.com/collections/mo-series,0,0,0.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knife 2pcs,9,9,70,0,0.00,https://xinzuocutlery.com/products/xinzuo-lan-series-3-layer-composite-steel-2pcs-knife-set,0,0,0.00,0.33,0,"[0,0,0,52,100,52,33,52,66,19,9,9]",2026-03-08,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
damascus steel knives xinzuo,9,9,40,11,0.00,https://xinzuocutlery.com/collections/jiang-pattern-damascus-series,0,0,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
xinzuo knife,9,9,140,22,0.64,https://xinzuocutlery.com/products/xinzuo-he-hammer-damascus-series-8-inch-chef-knife,0,0,0.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo 440c gyuto,10,10,40,,0.00,https://xinzuocutlery.com/collections/chef-knives-gyuto,0,0,0.00,0.03,188,"[9,45,27,81,9,9,9,100,100,18,18,18]",2026-03-25,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
zdp 189,10,10,170,3,0.68,https://xinzuocutlery.com/collections/zhen-zdp-189-series,0,0,0.00,1,691000,"[44,8,6,28,28,44,18,18,35,35,54,54]",2026-03-20,"Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
knife xinzuo 3 pcs,10,10,50,0,0.00,https://xinzuocutlery.com/products/xinzuo-3-piece-110-layers-damascus-steel-kitchen-knife-set-jiang-series,0,0,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo 440c gyuto,11,11,40,,0.00,https://xinzuocutlery.com/,0,0,0.00,0.03,188,"[9,45,27,81,9,9,9,100,100,18,18,18]",2026-03-25,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
zhen knife,12,12,50,16,0.60,https://xinzuocutlery.com/collections/zhen-hammer-damascus-series,0,0,0.00,1,1270000,"[42,26,15,19,26,19,7,26,7,7,7,42]",2026-03-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
knife xinzuo 3 pcs,12,12,50,0,0.00,https://xinzuocutlery.com/products/xinzuo-3-piece-110-layers-damascus-steel-kitchen-knife-set-jiang-series,0,0,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
zdp-189,13,13,170,5,0.00,https://xinzuocutlery.com/collections/zhen-zdp-189-series,0,0,0.00,0,670000,"[23,19,19,15,1,15,15,15,12,15,44,23]",2026-02-14,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
xinzuo knives,13,13,110,0,0.64,https://xinzuocutlery.com/pages/xinzuo-story,0,0,0.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
knife xinzuo 3 pcs,13,13,50,0,0.00,https://xinzuocutlery.com/products/xinzuo-3-piece-knife-set-67-layers-black-damascus-steel-chef-knife-santoku-knife-kitchen-utility-knife-with-burnt-oak-handle-mo-series,0,0,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo knife review,14,14,30,0,0.77,https://xinzuocutlery.com/blogs/news/damascus-knife-application-examples-and-reviews,0,0,0.00,1,0,"[6,6,6,6,6,6,12,21,21,6,6,6]",2026-03-10,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
damascus steel knives xinzuo,14,14,40,11,0.00,https://xinzuocutlery.com/collections/mo-series,0,0,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
xinzuo knife,15,15,140,22,0.64,https://xinzuocutlery.com/products/xinzuo-knife-3,0,0,0.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
kiritsuke cuchillo,15,15,70,10,0.00,https://xinzuocutlery.com/collections/kiritsuke-knives,0,0,0.00,1,177000,"[11,11,82,52,100,11,100,11,41,11,23,11]",2026-02-28,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knife 2pcs,16,16,70,0,0.00,https://xinzuocutlery.com/products/xinzuo-zhen-series-japanese-zdp-189-composite-steel-2pcs-knife-set,0,0,0.00,0.33,0,"[0,0,0,52,100,52,33,52,66,19,9,9]",2026-03-08,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
big cleaver,16,16,50,8,1.01,https://xinzuocutlery.com/products/xinzuo-he-hammer-damascus-series-7-inch-cleaver-knife,0,0,0.00,0.89,9400000,"[0,0,0,2,1,2,2,2,2,1,2,3]",2026-02-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
knife xinzuo 3 pcs,17,17,50,0,0.00,https://xinzuocutlery.com/collections/all,0,0,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo 440c gyuto,18,18,40,,0.00,https://xinzuocutlery.com/collections/all,0,0,0.00,0.03,188,"[9,45,27,81,9,9,9,100,100,18,18,18]",2026-03-25,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
xinzuo 440c gyuto,19,19,40,,0.00,https://xinzuocutlery.com/collections/chef-knife,0,0,0.00,0.03,188,"[9,45,27,81,9,9,9,100,100,18,18,18]",2026-03-25,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
damascus steel knives xinzuo,19,19,40,11,0.00,https://xinzuocutlery.com/collections/ji-damascus-series,0,0,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
black damascus knife,20,20,30,2,0.97,https://xinzuocutlery.com/collections/damascus-knives,0,0,0.00,1,12800000,"[64,11,11,11,11,11,11,11,11,11,11,11]",2026-01-22,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
xinzuo knives,20,20,110,0,0.64,https://xinzuocutlery.com/collections/chef-knives-gyuto,0,0,0.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knife 2pcs,21,21,70,0,0.00,https://xinzuocutlery.com/products/xinzuo-2-piece-110-layers-damascus-steel-kitchen-knife-set-jiang-series,0,0,0.00,0.33,0,"[0,0,0,52,100,52,33,52,66,19,9,9]",2026-03-08,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
zyzo blades,22,22,90,33,0.00,https://xinzuocutlery.com/,0,0,0.00,0.53,3440,"[100,23,3,3,3,3,3,3,3,3,3,3]",2026-01-16,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
xinzuo 440c gyuto,23,23,40,,0.00,https://xinzuocutlery.com/collections/chef-knives-gyuto-1,0,0,0.00,0.03,188,"[9,45,27,81,9,9,9,100,100,18,18,18]",2026-03-25,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
knife xinzuo 3 pcs,23,23,50,0,0.00,https://xinzuocutlery.com/collections/all,0,0,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
zdp-189 knife,24,24,70,3,0.65,https://xinzuocutlery.com/collections/zhen-zdp-189-series,0,0,0.00,1,348000,"[29,29,23,0,17,29,23,41,100,100,64,64]",2026-03-07,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
xinzuo knife review,25,25,30,0,0.77,https://xinzuocutlery.com/,0,0,0.00,1,0,"[6,6,6,6,6,6,12,21,21,6,6,6]",2026-03-10,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
damascus steel knife set 7pc,25,25,30,4,4.48,https://xinzuocutlery.com/products/xinzuo-7-piece-67-layers-damascus-steel-kitchen-knife-set-with-block-and-kitchen-scissor-ya-series,0,0,0.00,1,243000,"[34,6,6,6,6,6,6,6,6,6,6,6]",2026-02-26,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
damascus steel knives xinzuo,25,25,40,11,0.00,https://xinzuocutlery.com/collections/yun-hammer-damascus-series,0,0,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
xinzuo knife,25,25,140,22,0.64,https://xinzuocutlery.com/products/xinzuo-8-5-inch-chef-knife,0,0,0.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo 440c gyuto,27,27,40,,0.00,https://xinzuocutlery.com/collections/all,0,0,0.00,0.03,188,"[9,45,27,81,9,9,9,100,100,18,18,18]",2026-03-25,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
damascus chef knife reviews,28,28,40,25,0.00,https://xinzuocutlery.com/blogs/news/damascus-knife-application-examples-and-reviews,0,0,0.00,1,1250000,"[100,64,11,11,11,11,11,11,11,11,11,11]",2026-01-24,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
zdp 189 knife,28,28,210,4,0.67,https://xinzuocutlery.com/collections/zhen-zdp-189-series,0,0,0.00,1,381000,"[81,65,65,53,43,65,53,53,100,81,81,65]",2026-02-14,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
knife xinzuo 3 pcs,28,28,50,0,0.00,https://xinzuocutlery.com/products/xinzuo-3-piece-67-layers-japanese-aus-10-damascus-steel-kitchen-knife-set-jiang-series,0,0,0.00,0.33,0,"[0,0,0,81,81,81,45,100,100,45,18,18]",2026-03-12,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
xinzuo knives,29,29,110,0,0.64,https://xinzuocutlery.com/collections/jiang-pattern-damascus-series,0,0,0.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
damascus chef knife reviews,29,29,40,25,0.00,https://xinzuocutlery.com/blogs/news/damascus-knife-application-examples-and-reviews,0,0,0.00,1,1250000,"[100,64,11,11,11,11,11,11,11,11,11,11]",2026-01-24,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
xinzuo knife,29,29,140,22,0.64,https://xinzuocutlery.com/collections/jiang-pattern-damascus-series,0,0,0.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
zdp 189 knife,30,30,210,4,0.67,https://xinzuocutlery.com/collections/zhen-zdp-189-series,0,0,0.00,1,381000,"[81,65,65,53,43,65,53,53,100,81,81,65]",2026-02-14,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
xinzuo knives,31,31,110,0,0.64,https://xinzuocutlery.com/products/xinzuo-he-hammer-damascus-series-8-inch-chef-knife,0,0,0.00,1,182000,"[42,80,0,42,34,80,42,65,65,19,11,19]",2026-02-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
damascus steel knives xinzuo,31,31,40,11,0.00,https://xinzuocutlery.com/collections/chef-knife,0,0,0.00,0.33,138000,"[0,0,0,9,45,100,18,100,100,18,18,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
xinzuo knife,31,31,140,22,0.64,https://xinzuocutlery.com/collections/utility-knife,0,0,0.00,1,234000,"[100,11,18,11,5,5,5,8,6,23,35,35]",2026-03-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
xinzuo knife review,33,33,30,0,0.77,https://xinzuocutlery.com/pages/choose-guide,0,0,0.00,1,0,"[6,6,6,6,6,6,12,21,21,6,6,6]",2026-03-10,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
